"objectClass","attributeID","name","whenCreated","whenChanged","event"
"attributeSchema","1.2.840.113556.1.4.224","Default-Security-Descriptor","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","2.5.4.53","Delta-Revocation-List","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.2.141","Department","2009-02-11 18:37:09","2014-02-18 10:02:49","2009-02-11"
"attributeSchema","2.16.840.1.113730.3.1.2","departmentNumber","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","2.5.4.13","Description","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.346","Desktop-Profile","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","2.5.4.27","Destination-Indicator","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.715","dhcp-Classes","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.700","dhcp-Flags","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.701","dhcp-Identification","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.706","dhcp-Mask","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.719","dhcp-MaxKey","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.703","dhcp-Obj-Description","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.702","dhcp-Obj-Name","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.714","dhcp-Options","2009-02-11 18:37:09","2014-02-18 10:02:45","2009-02-11"
